id,state,team,component,env_no,environment,module,schema_name,exp_date,source_exp_date,edited_at,first_seen_at,last_seen_at
191,ND,Cognos,Software Versions & N-1 Tracking,19,DR,Software Versions & N-1 Tracking (Cognos),ENV19_CGNS_SWVER,2020-12-27,2020-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
192,ND,Informatica,Software Versions & N-1 Tracking,19,DR,Software Versions & N-1 Tracking (Informatica),ENV19_INFA_SWVER,2020-12-27,2020-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
193,ND,Letters,Software Versions & N-1 Tracking,19,DR,Software Versions & N-1 Tracking (Letters),ENV19_LTRS_SWVER,2020-12-27,2020-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
194,ND,App Server,Software Versions & N-1 Tracking,19,DR,Software Versions & N-1 Tracking (App Server),ENV19_APPSRV_SWVER,2020-12-27,2020-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
195,ND,Core,Software Versions & N-1 Tracking,19,DR,Software Versions & N-1 Tracking (Core),ENV19_CORE_SWVER,2020-12-27,2020-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
311,ND,Cognos,Software Versions & N-1 Tracking,78,MO,Software Versions & N-1 Tracking (Cognos),ENV78_CGNS_SWVER,2022-06-10,2022-06-10,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
312,ND,Informatica,Software Versions & N-1 Tracking,78,MO,Software Versions & N-1 Tracking (Informatica),ENV78_INFA_SWVER,2022-06-10,2022-06-10,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
313,ND,Letters,Software Versions & N-1 Tracking,78,MO,Software Versions & N-1 Tracking (Letters),ENV78_LTRS_SWVER,2022-06-10,2022-06-10,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
314,ND,App Server,Software Versions & N-1 Tracking,78,MO,Software Versions & N-1 Tracking (App Server),ENV78_APPSRV_SWVER,2022-06-10,2022-06-10,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
315,ND,Core,Software Versions & N-1 Tracking,78,MO,Software Versions & N-1 Tracking (Core),ENV78_CORE_SWVER,2022-06-10,2022-06-10,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
